,gencod,DESIGNATION : PRODUITS - POIDS,PCB,POIDS,Tarif général,remise,tarif net facturé,Pièce,DLUO
RELAIS LOCAL ,3770000994537,Dombiste 400gr environ,4,,"12,5","18,80%","10,15",KG,30J
RELAIS LOCAL ,3770000994186,demi dombiste filmé 220g poids fixe,8,,"2,8","15,00%","2,38",Pièce,30J
RELAIS LOCAL ,3770000994056,REGAL / COQUE x 6,6,,"3,17","19,00%","2,57",Pièce,30j
RELAIS LOCAL ,3770000994001,REGAL NU X 9 BOIS,9,,"2,89","15,40%","2,45",Pièce,30j
RELAIS LOCAL ,3770000994452,GROS ROMAN / KG,4,,"11,04","4,20%","10,58",Kg,24J
RELAIS LOCAL ,3770000994407,GROS ROMAN ½,8,,"3,8","23,20%","2,92",Pièce,24J
RELAIS LOCAL ,3770000994018,BOUCHON NATURE 100 GR x 10,10,,"2,86","21,40%","2,25",Pièce,45j
RELAIS LOCAL ,3770000994025,BOUCHON EPICE 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
RELAIS LOCAL ,3770000994636,BOUCHON AIL ET FINES HERBES 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
RELAIS LOCAL ,3770000994216,BOUCHON VIN BLANC 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
RELAIS LOCAL ,3770000994759,BOUCHON Ail des ours  100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
RELAIS LOCAL ,3770000994681,BOUCHON Piment Espelette 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
RELAIS LOCAL ,3770000994711,BOUCHON Tomate Origan Ail 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
RELAIS LOCAL ,3770000994735,BOUCHON Saveurs Méditéranéenne 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
RELAIS LOCAL ,3770000994070,BOUCHON NATURE KG,4,,"21,04","5,05%","19,98",Kg,45j
RELAIS LOCAL ,3770000994063,BOUCHON EPICE KG,4,,"22,27","5,00%","21,16",Kg,45j
RELAIS LOCAL ,3770000994797,BOUCHON Ail des ours  kg,4,,"22,27","5,00%","21,16",Kg,45j
RELAIS LOCAL ,3770000994766,BOUCHON Piment Espelette kg,4,,"22,27","5,00%","21,16",Kg,45j
RELAIS LOCAL ,3770000994773,BOUCHON Tomate Origan Ail  kg,4,,"22,27","5,00%","21,16",Kg,45j
RELAIS LOCAL ,3770000994742,BOUCHON Saveurs Méditéranéenne kg,4,,"22,27","5,00%","21,16",Kg,45j
RELAIS LOCAL ,3770000994605,BOUCHON AIL ET FINES HERBES KG,4,,"22,27","5,00%","21,16",Kg,45j
RELAIS LOCAL ,3770000994469,BOUCHON VIN BLANC KG,4,,"22,27","5,00%","21,16",Kg,45j
RELAIS LOCAL ,3770000994049,RIGOTTE X 3 100 GR x 16,16,,"2,27","10,50%","2,03",Pièce,60J
RELAIS LOCAL ,3770000994476,RIGOTTE affiné kg,4,,"16,5","17,00%","13,7",kg,60j
RELAIS LOCAL ,3770000994247,RIGOTTE FRAICHE Pc x 48,48,,"0,64","16,00%","0,54",Pièce,30J
RELAIS LOCAL ,3770000994674,PETIT FRAIS NATURE X 3 COQUE,6,,"2,15","9,50%","1,95",Pièce,20J
RELAIS LOCAL ,3770000994339,PETIT FRAIS X 3 COQUE (Oignon/ Ail et fines herbes/ Tomate origan),6,,"2,48","9,40%","2,25",Pièce,20J
RELAIS LOCAL ,3770000994513,Cervelle de canut 180 gr,6,,"2,07","20,00%","1,66",Pièce,60J
RELAIS LOCAL ,3770000994148,FROMAGE FORT 250 gr x 12,12,,"2,71","19,60%","2,17",Pièce,60J
RELAIS LOCAL ,3770000994414,SECHON 120 GR X 12,12,,"1,96","23,00%","1,51",Pièce,60J
RELAIS LOCAL ,3770000994445,ST FELICIEN NU 180 GR X 9,9,,"1,91","0,00%","1,91",Pièce,30j
RELAIS LOCAL ,3770000994100,ST FELICIEN / COQUE X 6,6,,"2,12","5,30%","2,01",Pièce,30j
RELAIS LOCAL ,3770000994162,Faisselle Lot 4 X150G ,1,,"2,46","0,00%","2,46",pièce,20J
RELAIS LOCAL ,3770000994964,YAOURT FERMIER BRASSE NATURE POT  VERRE 125G,6,,"0,65","17,00%","0,54",pièce,20J
RELAIS LOCAL ,3770000994315,YAOURT FERMIER BRASSE NATURE POT  VERRE 500G,6,,"2,6","17,00%","2,16",Pièce,20J
RELAIS LOCAL ,3770000994957,FROMAGE BLANC POT DE 500G,1,,"2,93","17,00%","2,43",pièce,20J
RELAIS LOCAL ,3770000994209,FROMAGE FORT SEAUX 2KG,1,,,,"7,88",kg,45J
RELAIS LOCAL ,3770000994513,CERVELLE DE CANUT,1,,,,"8,4",kg,20J
RELAIS LOCAL ,3770000994612,DELICE CHAMPETRE,1,,,,"8,4",kg,20J
SOURBES  ,3770000994537,Dombiste 400gr environ,4,,"12,5","0,00%","12,5",KG,30J
SOURBES  ,3770000994186,demi dombiste filmé 220g poids fixe,8,,"2,8","0,00%","2,8",Pièce,30j
SOURBES  ,3770000994056,REGAL / COQUE x 6,6,,"3,17","0,00%","3,17",Pièce,30J
SOURBES  ,3770000994001,REGAL NU X 9 BOIS,9,,"2,89","21,00%","2,28",Pièce,30J
SOURBES  ,3770000994452,GROS ROMAN / KG,4,,"11,04","0,00%","11,04",Kg,24J
SOURBES  ,3770000994407,GROS ROMAN ½,8,,"3,8","0,00%","3,8",Pièce,24J
SOURBES  ,3770000994018,BOUCHON NATURE 100 GR x 10,10,,"2,86","0,00%","2,86",Pièce,45J
SOURBES  ,3770000994025,BOUCHON EPICE 100 GR x 10,10,,"3,05","0,00%","3,05",Pièce,45J
SOURBES  ,3770000994636,BOUCHON AIL ET FINES HERBES 100 GR x 10,10,,"3,05","0,00%","3,05",Pièce,45J
SOURBES  ,3770000994216,BOUCHON VIN BLANC 100 GR x 10,10,,"3,05","0,00%","3,05",Pièce,45J
SOURBES  ,3770000994759,BOUCHON Ail des ours  100 GR x 10,10,,"3,05","0,00%","3,05",Pièce,45J
SOURBES  ,3770000994681,BOUCHON Piment Espelette 100 GR x 10,10,,"3,05","0,00%","3,05",Pièce,45J
SOURBES  ,3770000994711,BOUCHON Tomate Origan Ail 100 GR x 10,10,,"3,05","0,00%","3,05",Pièce,45J
SOURBES  ,3770000994735,BOUCHON Saveurs Méditéranéenne 100 GR x 10,10,,"3,05","0,00%","3,05",Pièce,45J
SOURBES  ,3770000994070,BOUCHON NATURE KG,4,,"21,04","0,00%","21,04",Kg,45J
SOURBES  ,3770000994063,BOUCHON EPICE KG,4,,"22,27","0,00%","22,27",Kg,45J
SOURBES  ,3770000994797,BOUCHON Ail des ours  kg,4,,"22,27","0,00%","22,27",Kg,45J
SOURBES  ,3770000994766,BOUCHON Piment Espelette kg,4,,"22,27","0,00%","22,27",Kg,45J
SOURBES  ,3770000994773,BOUCHON Tomate Origan Ail  kg,4,,"22,27","0,00%","22,27",Kg,45J
SOURBES  ,3770000994742,BOUCHON Saveurs Méditéranéenne kg,4,,"22,27","0,00%","22,27",Kg,45J
SOURBES  ,3770000994605,BOUCHON AIL ET FINES HERBES KG,4,,"22,27","0,00%","22,27",Kg,45J
SOURBES  ,3770000994469,BOUCHON VIN BLANC KG,4,,"22,27","0,00%","22,27",Kg,45J
SOURBES  ,3770000994049,RIGOTTE X 3 100 GR x 16,16,,"2,27","0,00%","2,27",Pièce,60J
SOURBES  ,3770000994476,RIGOTTE affiné kg,4,,"16,5","0,00%","16,5",kg,60j
SOURBES  ,3770000994247,RIGOTTE FRAICHE Pc x 48,48,,"0,64","0,00%","0,64",Pièce,30J
SOURBES  ,3770000994674,PETIT FRAIS NATURE X 3 COQUE,6,,"2,15","0,00%","2,15",Pièce,20J
SOURBES  ,3770000994339,PETIT FRAIS X 3 COQUE (Oignon/ Ail et fines herbes/ Tomate origan),6,,"2,48","0,00%","2,48",Pièce,20J
SOURBES  ,3770000994513,Cervelle de canut 180 gr,6,,"2,07","0,00%","2,07",Pièce,60J
SOURBES  ,3770000994148,FROMAGE FORT 250 gr,6,,"2,71","0,00%","2,71",Pièce,60J
SOURBES  ,3770000994414,SECHON 120 GR X 12,12,,"1,96","0,00%","1,96",Pièce,60J
SOURBES  ,3770000994445,ST FELICIEN NU 180 GR X 9,9,,"1,91","0,00%","1,91",Pièce,30J
SOURBES  ,3770000994100,ST FELICIEN / COQUE X 6,6,,"2,12","0,00%","2,12",Pièce,30J
SOURBES  ,3770000994162,Faisselle Lot 4 X150G ,8,,"2,46","0,00%","2,46",pièce,20J
SOURBES  ,3770000994964,YAOURT FERMIER BRASSE NATURE POT  VERRE 125G,6,,"0,65","0,00%","0,65",pièce,20J
SOURBES  ,3770000994315,YAOURT FERMIER BRASSE NATURE POT  VERRE 500G,6,,"2,6","0,00%","2,6",pièce,20J
SOURBES  ,3770000994957,FROMAGE BLANC POT DE 500G,6,,"2,93","0,00%","2,93",pièce,20J
PERRET ,3770000994537,Dombiste 400gr environ,4,,"12,5","18,80%","10,15",KG,30J
PERRET ,3770000994056,REGAL / COQUE x 6,6,,"3,17","19,00%","2,57",Pièce,30j
PERRET ,3770000994001,REGAL NU X 9 BOIS,9,,"2,89","22,50%","2,24",Pièce,30j
PERRET ,3770000994452,GROS ROMAN / KG,4,,"11,04","5,09%","10,48",Kg,24J
PERRET ,3770000994407,GROS ROMAN ½,8,,"3,8","23,20%","2,92",Pièce,24J
PERRET ,3770000994018,BOUCHON NATURE 100 GR x 10,10,,"2,86","21,40%","2,25",Pièce,45j
PERRET ,3770000994025,BOUCHON EPICE 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
PERRET ,3770000994636,BOUCHON AIL ET FINES HERBES 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
PERRET ,3770000994216,BOUCHON VIN BLANC 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
PERRET ,3770000994759,BOUCHON Ail des ours  100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
PERRET ,3770000994681,BOUCHON Piment Espelette 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
PERRET ,3770000994711,BOUCHON Tomate Origan Ail 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
PERRET ,3770000994735,BOUCHON Saveurs Méditéranéenne 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45j
PERRET ,3770000994070,BOUCHON NATURE KG,4,,"21,04","22,05%","16,4",Kg,45j
PERRET ,3770000994063,BOUCHON EPICE KG,4,,"22,27","18,50%","18,15",Kg,45j
PERRET ,3770000994797,BOUCHON Ail des ours  kg,4,,"22,27","18,50%","18,15",Kg,45j
PERRET ,3770000994766,BOUCHON Piment Espelette kg,4,,"22,27","18,50%","18,15",Kg,45j
PERRET ,3770000994773,BOUCHON Tomate Origan Ail  kg,4,,"22,27","18,50%","18,15",Kg,45j
PERRET ,3770000994742,BOUCHON Saveurs Méditéranéenne kg,4,,"22,27","18,50%","18,15",Kg,45j
PERRET ,3770000994605,BOUCHON AIL ET FINES HERBES KG,4,,"22,27","18,50%","18,15",Kg,45j
PERRET ,3770000994469,BOUCHON VIN BLANC KG,4,,"22,27","18,50%","18,15",Kg,45j
PERRET ,3770000994049,RIGOTTE X 3 100 GR x 16,16,,"2,27","10,50%","2,03",Pièce,60J
PERRET ,3770000994476,RIGOTTE affiné kg,4,,"16,5","17,00%","13,7",kg,60j
PERRET ,3770000994247,RIGOTTE FRAICHE Pc x 48,48,,"0,64","16,00%","0,54",Pièce,30J
PERRET ,3770000994674,PETIT FRAIS NATURE X 3 COQUE,6,,"2,15","9,50%","1,95",Pièce,20J
PERRET ,3770000994339,PETIT FRAIS X 3 COQUE (Oignon/ Ail et fines herbes/ Tomate origan),6,,"2,48","9,40%","2,25",Pièce,20J
PERRET ,3770000994513,Cervelle de canut 180 gr,6,,"2,07","20,00%","1,66",Pièce,60J
PERRET ,3770000994148,FROMAGE FORT 250 gr x 12,12,,"2,71","19,60%","2,17",Pièce,60J
PERRET ,3770000994414,SECHON 120 GR X 12,12,,"1,96","23,00%","1,51",Pièce,60J
PERRET ,3770000994445,ST FELICIEN NU 180 GR X 9,9,,"1,91","0,00%","1,91",Pièce,30j
PERRET ,3770000994100,ST FELICIEN / COQUE X 6,6,,"2,12","5,30%","2,01",Pièce,30j
PERRET ,3770000994162,Faisselle Lot 4 X150G ,1,,"2,46","0,00%","2,46",pièce,20J
PERRET ,3770000994964,YAOURT FERMIER BRASSE NATURE POT  VERRE 125G,6,,"0,65","17,00%","0,54",pièce,20J
PERRET ,3770000994315,YAOURT FERMIER BRASSE NATURE POT  VERRE 500G,6,,"2,6","17,00%","2,16",Pièce,20J
PERRET ,3770000994957,FROMAGE BLANC POT DE 500G,1,,"2,93","17,00%","2,43",pièce,20J
PERRET ,3770000994209,FROMAGE FORT SEAUX 2KG,1,,,,"7,88",kg,45J
PERRET ,3770000994513,CERVELLE DE CANUT,1,,,,"8,4",kg,20J
PERRET ,3770000994612,DELICE CHAMPETRE,1,,,,"8,4",kg,20J
 LAITERIE DU MONT AIGUILLE,3770000994537,Dombiste 400gr environ,4,,"12,5","18,80%","10,15",KG,30J
 LAITERIE DU MONT AIGUILLE,3770000994056,REGAL / COQUE x 6,6,,"3,17","19,00%","2,57",Pièce,30J
 LAITERIE DU MONT AIGUILLE,3770000994001,REGAL NU X 9 BOIS,9,,"2,89","22,50%","2,24",Pièce,30J
 LAITERIE DU MONT AIGUILLE,3770000994452,GROS ROMAN / KG,4,,"11,04","5,09%","10,48",Kg,24J
 LAITERIE DU MONT AIGUILLE,3770000994407,GROS ROMAN ½,8,,"3,8","23,08%","2,92",Pièce,24J
 LAITERIE DU MONT AIGUILLE,3770000994018,BOUCHON NATURE 100 GR x 10,10,,"2,86","21,40%","2,25",Pièce,45J
 LAITERIE DU MONT AIGUILLE,3770000994025,BOUCHON EPICE 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45J
 LAITERIE DU MONT AIGUILLE,3770000994636,BOUCHON AIL ET FINES HERBES 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45J
 LAITERIE DU MONT AIGUILLE,3770000994216,BOUCHON VIN BLANC 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45J
 LAITERIE DU MONT AIGUILLE,3770000994759,BOUCHON Ail des ours  100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45J
 LAITERIE DU MONT AIGUILLE,3770000994681,BOUCHON Piment Espelette 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45J
 LAITERIE DU MONT AIGUILLE,3770000994711,BOUCHON Tomate Origan Ail 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45J
 LAITERIE DU MONT AIGUILLE,3770000994735,BOUCHON Saveurs Méditéranéenne 100 GR x 10,10,,"3,05","22,99%","2,35",Pièce,45J
 LAITERIE DU MONT AIGUILLE,3770000994070,BOUCHON NATURE KG,4,,"21,04","14,75%","17,94",Kg,45J
 LAITERIE DU MONT AIGUILLE,3770000994063,BOUCHON EPICE KG,4,,"22,27","11,96%","19,61",Kg,45J
 LAITERIE DU MONT AIGUILLE,3770000994797,BOUCHON Ail des ours  kg,4,,"22,27","11,96%","19,61",Kg,45J
